% f (Hz),	G_rec (dB),	T_e_rec (K)	
1524688768.000000,	56.695936,	7.721187
1525687424.000000,	56.687411,	7.707793
1526686080.000000,	56.673540,	7.769176
1527684864.000000,	56.653052,	7.909137
1528683520.000000,	56.660938,	7.737684
1529682176.000000,	56.676051,	7.707540
1530680960.000000,	56.650872,	7.934613
1531679616.000000,	56.684268,	7.652029
1532678400.000000,	56.686887,	7.838851
1533677056.000000,	56.714701,	7.613783
1534675712.000000,	56.694250,	7.782421
1535674496.000000,	56.725776,	7.543502
1536673152.000000,	56.716839,	7.668557
1537671808.000000,	56.732714,	7.661368
1538670592.000000,	56.730494,	7.622288
1539669248.000000,	56.734402,	7.570478
1540667904.000000,	56.703359,	7.776292
1541666688.000000,	56.720106,	7.590482
1542665344.000000,	56.714813,	7.576083
1543664128.000000,	56.705664,	7.575441
1544662784.000000,	56.688939,	7.592888
1545661440.000000,	56.660038,	7.678681
1546660224.000000,	56.670936,	7.550334
1547658880.000000,	56.637950,	7.515655
1548657536.000000,	56.618855,	7.457527
1549656320.000000,	56.606307,	7.368602
1550654976.000000,	56.601277,	7.486552
1551653760.000000,	56.565709,	7.581408
1552652416.000000,	56.558043,	7.567533
1553651072.000000,	56.548924,	7.354263
1554649856.000000,	56.540956,	7.339670
1555648512.000000,	56.530519,	7.547844
1556647168.000000,	56.545260,	7.326821
1557645952.000000,	56.525511,	7.288973
1558644608.000000,	56.526827,	7.483233
1559643264.000000,	56.517349,	7.463432
1560642048.000000,	56.522045,	7.355617
1561640704.000000,	56.500302,	7.336827
1562639488.000000,	56.504195,	7.363999
1563638144.000000,	56.489433,	7.477033
1564636800.000000,	56.474976,	7.563295
1565635584.000000,	56.467730,	7.421357
1566634240.000000,	56.467613,	7.275759
1567632896.000000,	56.437441,	7.359745
1568631680.000000,	56.412391,	7.574762
1569630336.000000,	56.421744,	7.345758
1570628992.000000,	56.386125,	7.259213
1571627776.000000,	56.361161,	7.347060
1572626432.000000,	56.340848,	7.312049
1573625216.000000,	56.311971,	7.469787
1574623872.000000,	56.297775,	7.372815
1575622528.000000,	56.276174,	7.495156
1576621312.000000,	56.258874,	7.473748
1577619968.000000,	56.254186,	7.401121
1578618624.000000,	56.249141,	7.396756
1579617408.000000,	56.250941,	7.372785
1580616064.000000,	56.236222,	7.329313
1581614848.000000,	56.223443,	7.399113
1582613504.000000,	56.230776,	7.480757
1583612160.000000,	56.244393,	7.292234
1584610944.000000,	56.223145,	7.420734
1585609600.000000,	56.225913,	7.450808
1586608256.000000,	56.212022,	7.483315
1587607040.000000,	56.207338,	7.568266
1588605696.000000,	56.200013,	7.561479
1589604352.000000,	56.203052,	7.484499
1590603136.000000,	56.192263,	7.533943
1591601792.000000,	56.181709,	7.548094
1592600576.000000,	56.190822,	7.530712
1593599232.000000,	56.153312,	7.721487
1594597888.000000,	56.163358,	7.677772
