#SOURCE_ID | RA | DEC | NVSS_FLUX | INT_SPEC_INDX | 3C_NAME | PKS_JNAME | PKS_1410_FLUX | PKS_635_FLUX | PKS_408_FLUX | PKS_SPEC_INDX 
384324|178.590673|-35.091545|6.301233|-0.197383|No-3C|PKS-J1154-3505|6.100000|0.000000|10.900000|-0.151101
421726|270.820633|-27.803610|6.907262|-0.836171|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
421727|270.820622|-27.803609|6.954781|-0.833124|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
439166|83.685487|19.456012|7.216420|-0.372285|No-3C|PKS-J0534+1927|6.000000|0.000000|0.000000|0.000000
479108|61.852048|3.684270|5.603690|-0.577273|3C105|PKS-J0407+0340|5.100000|8.900000|9.350000|-0.566297
483490|80.741184|-36.458297|17.574017|-0.574125|No-3C|PKS-J0522-3627|16.300000|0.000000|36.100000|-0.569788
483491|80.741184|-36.458297|17.583929|-0.581764|No-3C|PKS-J0522-3627|16.300000|0.000000|36.100000|-0.569788
505828|266.433731|-28.988655|118.807533|0.872007|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
505888|266.837739|-28.419271|6.183379|1.441196|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
514156|184.809032|5.827205|5.669140|-0.576108|3C270|PKS-J1219+0549|17.200000|0.000000|41.500000|-0.606479
524772|263.261073|-13.080334|6.159280|-0.098656|No-3C|PKS-J1733-1304|5.200000|0.000000|6.580000|-0.134985
536847|275.128384|-16.187417|268.160156|2.910333|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
536848|275.100188|-16.122541|21.772509|2.220797|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
559984|172.529364|-14.824258|5.696720|0.256756|No-3C|PKS-J1130-1449|6.400000|0.000000|5.070000|0.208425
564352|252.787116|4.991248|47.255966|-0.939120|3C348|PKS-J1651+0459|47.000000|0.000000|169.000000|-0.986481
569369|47.108892|4.111594|7.367230|-0.489348|3C78|PKS-J0308+0406|7.800000|10.500000|13.600000|-0.480700
570408|14.394712|-1.390564|5.392739|-0.525740|3C29|PKS-J0057-0123|5.400000|0.000000|10.900000|-0.604411
570409|14.394712|-1.390563|5.400240|-0.525153|3C29|PKS-J0057-0123|5.400000|0.000000|10.900000|-0.604411
587383|59.731156|10.429467|10.722362|-0.689407|3C98|PKS-J0358+1025|11.100000|0.000000|27.500000|-0.723317
596800|197.913742|-22.278250|5.307928|-1.042216|No-3C|PKS-J1311-2216|5.240000|0.000000|22.200000|-0.933501
662137|44.442990|6.053092|5.902930|-0.569405|No-3C|PKS-J0257+0602|6.000000|0.000000|16.200000|-0.713814
675572|298.063684|2.507459|5.907279|-0.690765|3C403|PKS-J1952+0230|5.800000|10.700000|13.600000|-0.727364
675573|298.063683|2.507458|5.910742|-0.690532|3C403|PKS-J1952+0230|5.800000|10.700000|13.600000|-0.727364
679172|20.113000|-15.338081|5.116396|-0.740929|No-3C|PKS-J0120-1520|4.700000|0.000000|13.500000|-0.686017
692138|226.243108|26.016881|7.481819|-0.907212|3C310|PKS-J1504+2556|7.200000|17.100000|0.000000|-1.013218
693831|305.026778|29.704317|9.748716|-0.746690|3C410|No-PKS|0.000000|0.000000|0.000000|0.000000
693832|305.026778|29.704316|9.752368|-0.748724|3C410|No-PKS|0.000000|0.000000|0.000000|0.000000
696614|71.156016|-28.163428|6.841652|-0.860173|No-3C|PKS-J0444-2809|6.900000|0.000000|220.000000|-0.935814
711711|273.565968|-17.931506|11.430783|2.227170|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
722905|6.454869|-26.036916|8.959855|-0.269264|No-3C|PKS-J0025-2602|8.600000|0.000000|17.000000|-0.353298
726598|139.524312|-12.093676|42.992828|-0.876014|3C218|PKS-J0918-1205|43.500000|0.000000|132.000000|-0.832145
726599|139.524315|-12.093674|43.050743|-0.893367|3C218|PKS-J0918-1205|43.500000|0.000000|132.000000|-0.832145
785517|176.278967|19.618673|5.628475|-0.543442|3C264|PKS-J1145+1936|5.600000|0.000000|19.300000|-0.735649
802965|274.472654|-11.735214|5.517976|1.607845|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
816217|146.938982|7.418802|7.620460|-0.717764|3C227|PKS-J0947+0725|7.100000|0.000000|22.100000|-0.782255
822367|259.504061|-37.441520|18.080452|-0.542121|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822368|259.504061|-37.441521|18.136354|-0.540760|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822396|259.863415|-37.180240|5.017605|1.587857|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822419|262.324531|-36.668660|7.261117|1.956469|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822427|262.261338|-36.571218|8.790199|1.727975|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822463|260.079481|-35.914896|6.250400|1.778093|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822467|260.183968|-35.821506|9.586102|1.874263|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822539|262.622271|-34.699403|9.064759|2.014419|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
822601|261.187873|-34.173881|23.626619|2.472893|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
827237|281.600382|-2.991470|5.986501|-0.821823|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
827276|281.529758|-2.698680|5.098756|1.394886|No-3C|No-PKS|0.000000|0.000000|0.000000|0.000000
885924|315.410946|-28.029717|5.749821|-0.546629|No-3C|PKS-J2101-2801|5.600000|0.000000|15.900000|-0.739653
919880|303.614944|23.581317|13.698611|-1.054597|3C409|PKS-J2014+2334|11.600000|34.500000|0.000000|-0.888275
925601|338.151745|11.730633|7.445548|0.111590|No-3C|PKS-J2232+1143|6.900000|0.000000|9.220000|-0.000504
