% f (Hz),G_rec (dB),T_e_rec (K)
1639000000,  56.64,   8.76
1640000000,  56.63,   8.74
1641000000,  56.63,   8.68
1642000000,  56.61,   8.64
1643000000,  56.61,   8.70
1644000000,  56.59,   8.79
1645000000,  56.58,   8.82
1646000000,  56.59,   8.69
1647000000,  56.58,   8.73
1648000000,  56.56,   8.64
1649000000,  56.57,   8.50
1650000000,  56.56,   8.58
1651000000,  56.56,   8.70
1652000000,  56.56,   8.67
1653000000,  56.55,   8.56
1654000000,  56.54,   8.65
1655000000,  56.54,   8.79
1656000000,  56.52,   8.82
1657000000,  56.52,   8.83
1658000000,  56.52,   8.81
1659000000,  56.51,   8.77
1660000000,  56.51,   8.84
1661000000,  56.50,   9.00
1662000000,  56.50,   9.04
1663000000,  56.50,   9.06
1664000000,  56.49,   9.14
1665000000,  56.50,   9.20
1666000000,  56.49,   9.29
1667000000,  56.48,   9.37
1668000000,  56.49,   9.51
1669000000,  56.49,   9.71
1670000000,  56.48,  10.00
